Country;Bun_Con;Bun_Res_Oil_Con;Cru_Exp;Cru_Imp;Cru_Pro;Cru_Res;Die_Con;Die_Pro;Jet_Con;Jet_Pro;Ker_Con;Ker_Pro;LPG_Con;LPG_Pro;Gas_Con;Gas_Pro;NG_Lq_Pro;Otr_Lq_Pro;Otr_Ref_Con;Otr_Ref_Pro;CO2_Pet_MMT;Liq_Con;Liq_Pro;Ref_Con;Ref_Pro;Gan_Ref;Res_Oil_Con;Res_Oil_Pro;Bio_Cap;Bio_Gen;Per_Dis;Ele_Exp;Ele_Imp;Cap_Tot;Con_Ele;Gen_Ele;Net_Imp_Ele;Fos_Cap;Fos_Gen;Geo_Cap;Geo_Gen;Hid_Bom_Cap;Hid_Bom_Gen;Hid_Cap;Hid_Gen;Ren_No_Hid_Cap;Ren_No_Hid_Gen;Nuc_Cap;Nuc_Gen;Ren_Cap;Ren_Gen;Sol_Cap;Sol_Gen;Mar_Cap;Mar_Gen;Eol_Cap;Eol_Gen
UnitedArabEmirates;388;271;2651;0;3010;98;75;79;127;135;0;0;51;30;177;87;521;0;57;150;113;789;3542;789;508;11;302;27;0;0;7.2;0.3;0.2;29;102;110;0;29;109;0;0;0;0;0;0;0.1;0.3;0;0;0.1;0.3;0.1;0.3;0;0;0;0
UnitedKingdom;45;19;569;940;787;3;612;445;242;100;69;45;75;76;300;364;53;30;187;176;208;1518;910;1518;1301;40;32;96;4.6;25;55;2.7;23;96;287;321;21;59;197;0;0;2.7;-1;1.7;5.9;23;61;9.4;58;25;67;5.5;4.1;0;0;13;32
UnitedStates;685;161;351;7344;8789;37;4037;4916;1470;1541;9;19;1348;648;8921;9571;3015;1273;3058;2523;2263;19100;14158;19100;19653;1081;257;435;16;77;244;13;67;1076;3915;4105;53;774;2751;2.5;16;22;-6.2;80;259;101;304;99;797;180;563;18;29;0;0;64;182
Uruguay;5.9;2;0;37;0;0;19;16;1.7;1.8;0.1;0.1;4.1;2.6;13;11;0;1.2;5.1;3.6;7.4;52;2.1;52;42;0.9;8.9;7.1;0.4;1.9;1.3;1.3;0;4.1;10;13;-1.3;1.7;0.6;0;0;0;0;1.5;9.6;0.9;2.7;0;0;2.4;12;0;0;0;0;0.5;0.7
Uzbekistan;0;0;0;13;64;0.6;18;21;2.5;2.5;0.9;0.9;0.6;0.6;24;24;0;0;9.2;10;8.1;60;66;60;64;1.3;4.4;4.4;0;0;9.2;7.2;6.4;13;43;53;-0.8;11;47;0;0;0;0;1.8;6;0;0;0;0;1.8;6;0;0;0;0;0;0
Venezuela;29;15;1729;0;2500;298;237;247;13;62;1;1.4;125;6.8;266;277;175;0;66;164;99;780;2684;780;1028;9;72;270;0;0;43;0.9;0;32;57;100;-0.9;17;37;0;0;0;0;15;64;0;0;0;0;15;64;0;0;0;0;0;0
Vietnam;19;3.4;187;14;307;4.4;135;59;19;2.1;0.6;0;43;12;105;52;8;0.5;62;3.2;50;379;319;379;132;3.5;14;4.2;0.1;0;13;0.9;2.3;33;122;133;1.4;18;74;0;0;0;0;15;59;0.2;0.2;0;0;15;59;0;0;0;0;0;0
Yemen;3.7;0.3;84;0;125;3;62;16;2;6.2;2;1.8;27;2;39;3.8;0;0;5;16;21;154;125;154;57;0;17;11;0;0;1.9;0;0;1.5;5.3;7.2;0;1.5;7.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zambia;0.8;0;0;11;0;0;9.4;7.5;0.8;0.8;0.3;0.7;0.4;0.4;7;2.2;0;0;2.2;0.9;3.2;22;0.1;22;14;0.1;2.3;1.8;0;0;2.2;1.3;0;2.5;11;14;-1.2;0.2;0.4;0;0;0;0;2.3;14;0;0;0;0;2.3;14;0;0;0;0;0;0
Zimbabwe;0.2;0;0;0;0;0;17;0;0.2;0;1;0;0.4;0;7.9;0;0;0.7;0.5;0;3.9;27;0.7;27;0;0;0;0;0.1;0.1;1.6;1.2;1.1;2.1;8;9.7;0;1.2;4.2;0;0;0;0;0.8;5.4;0.1;0.1;0;0;0.9;5.5;0;0;0;0;0;0
