Country;Bun_Con;Bun_Res_Oil_Con;Cru_Exp;Cru_Imp;Cru_Pro;Cru_Res;Die_Con;Die_Pro;Jet_Con;Jet_Pro;Ker_Con;Ker_Pro;LPG_Con;LPG_Pro;Gas_Con;Gas_Pro;NG_Lq_Pro;Otr_Lq_Pro;Otr_Ref_Con;Otr_Ref_Pro;CO2_Pet_MMT;Liq_Con;Liq_Pro;Ref_Con;Ref_Pro;Gan_Ref;Res_Oil_Con;Res_Oil_Pro;Bio_Cap;Bio_Gen;Per_Dis;Ele_Exp;Ele_Imp;Cap_Tot;Con_Ele;Gen_Ele;Net_Imp_Ele;Fos_Cap;Fos_Gen;Geo_Cap;Geo_Gen;Hid_Bom_Cap;Hid_Bom_Gen;Hid_Cap;Hid_Gen;Ren_No_Hid_Cap;Ren_No_Hid_Gen;Nuc_Cap;Nuc_Gen;Ren_Cap;Ren_Gen;Sol_Cap;Sol_Gen;Mar_Cap;Mar_Gen;Eol_Cap;Eol_Gen
Kazakhstan;4.9;0;1368;19;1632;30;78;108;6.8;6.5;3.6;2.4;15;31;89;71;84;0;31;24;34;249;1719;249;317;3.1;26;75;0;0;7.1;2.9;1.7;25;82;90;-1.2;23;82;0;0;0;0;2.7;8.2;0.1;0.1;0;0;2.8;8.3;0;0;0;0;0;0
Kenya;12;0.7;0;12;0;0;36;3.3;11;2.2;6.3;1;4.8;0.4;21;1.8;0;0.9;2.7;1.9;13;90;0.8;90;14;0;7.3;3.7;0;0.1;1.6;0;0;2.2;7.6;9.2;0;0.7;1.6;0.6;4.1;0;0;0.8;3.3;0.7;4.3;0;0;1.5;7.5;0;0;0;0;0;0
Kuwait;37;19;1995;0;2692;102;78;221;16;53;2;130;4;5.7;67;57;200;0;167;232;56;451;2892;451;897;-0.1;117;198;0;0;5.8;0;0;16;55;61;0;16;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Latvia;6.8;3;0;0;0;0;20;0;2.3;0;0;0;3;0;5;0;0;1.6;1.7;0;4.9;35;1.6;35;0;0;3;0;0.1;0.7;0.5;3;5.3;3;6.7;4.8;2.3;1.2;2.1;0;0;0;0;1.6;2;0.2;0.8;0;0;1.8;2.8;0;0;0;0;0;0.1
Libya;4.3;1.7;358;0;530;48;112;26;3;8;5;2.4;10;1.8;89;12;47;0;17;20;37;269;576;269;102;-0.8;33;31;0;0;7.2;0;0;9.5;28;35;0;9.5;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lithuania;1.8;0;1.3;149;2;0;27;52;1.9;21;0;0;5.5;9;4.7;49;0;2.6;10;15;7.3;52;8.4;52;175;3.8;2.2;29;0;0.4;0.8;0.9;8.5;3.9;9.9;3.1;7.6;2.5;1.8;0;0;0.8;-0.3;0.1;0.4;0.5;1.2;0;0;0.6;1.5;0;0;0;0;0.3;0.6
Malaysia;57;3.8;249;210;603;4;226;193;64;61;0.5;2.1;78;33;283;109;35;23;65;75;99;737;671;737;523;9.8;21;50;1.4;0.7;13;0;0;31;127;139;0;24;125;0;0;0;0;4.8;13;1.6;0.9;0;0;6.4;14;0.2;0.2;0;0;0;0
Mexico;16;1.6;1208;0;2469;10;429;396;65;53;1;0;309;26;751;407;320;0.5;320;242;266;2040;2814;2040;1383;25;165;260;0.6;1.4;41;2.7;2.1;67;248;290;-0.5;49;229;0.8;5.7;0;0;12;39;4.1;14;1.3;9.3;17;52;0.1;0.2;0;0;2.6;6.4
Morocco;16;2.1;0;108;0.2;0;106;47;14;20;0;0;74;3.3;13;7.7;0;0;40;30;38;281;0;281;139;0;34;32;0;0;5.2;0.1;6.1;11;27;26;6;8.7;23;0;0;0.5;-0.1;1.3;1.6;0.8;1.9;0;0;2.1;3.6;0;0;0;0;0.8;1.9
Netherlands;212;184;12;959;29;0.1;169;425;76;150;2.6;8.3;101;52;88;148;8.3;37;286;281;120;932;91;932;1214;15;209;150;1.2;6.6;4.9;18;33;32;110;100;15;26;83;0;0;0;0;0;0.1;5.1;13;0.5;3.9;5.2;13;1;0.7;0;0;2.9;5.8
